GEOID,sovi,rank,fema_region
g12073,-2.406042164848195,635.0,FEMA_4
g12075,2.166656970685205,122.0,FEMA_4
g12077,2.375695485774422,111.0,FEMA_4
g12079,2.092566550879611,128.0,FEMA_4
g12081,2.189776822595224,120.0,FEMA_4
g12083,3.065301365869436,70.0,FEMA_4
g12085,1.5089004610775585,167.0,FEMA_4
g12086,9.004354539161149,5.0,FEMA_4
g12087,2.6775170529400625,88.0,FEMA_4
g12089,-2.814155446694013,654.0,FEMA_4
g12091,-0.732285547527764,460.0,FEMA_4
g12093,6.011013470934368,21.0,FEMA_4
g12095,1.680114376654436,151.0,FEMA_4
g12097,5.449876304324425,23.0,FEMA_4
g12099,2.444000811374691,102.0,FEMA_4
g12101,1.049315888776853,222.0,FEMA_4
g12103,3.2431835438771617,60.0,FEMA_4
g12105,2.118503422211149,123.0,FEMA_4
g12107,2.8190052138169737,78.0,FEMA_4
g12109,-3.906972356275309,696.0,FEMA_4
g12111,2.7893274237500565,81.0,FEMA_4
g12113,-3.376771620477118,678.0,FEMA_4
g12115,3.611470523524119,49.0,FEMA_4
g12117,-2.42368589831107,636.0,FEMA_4
g12119,6.529691230493813,15.0,FEMA_4
g12121,2.628709020333537,93.0,FEMA_4
g12123,2.716784253813372,86.0,FEMA_4
g12125,6.4420424359027,17.0,FEMA_4
g12127,2.0936006680608505,127.0,FEMA_4
g12129,-2.3633051601665604,634.0,FEMA_4
g12131,1.7186585828114147,149.0,FEMA_4
g12133,2.4237785942128447,104.0,FEMA_4
g13001,-0.6325273540664271,448.0,FEMA_4
g13003,0.6658795293440629,266.0,FEMA_4
g13005,-0.47029672193602134,421.0,FEMA_4
g13007,0.7639264590568682,256.0,FEMA_4
g13009,2.575844190767764,96.0,FEMA_4
g13011,-3.733980928892807,691.0,FEMA_4
g13013,-3.6402553726890905,687.0,FEMA_4
g13015,-2.6870073169982582,646.0,FEMA_4
g13017,2.199806117201966,118.0,FEMA_4
g13019,-0.39886264775351776,410.0,FEMA_4
g13021,0.5075310399496746,282.0,FEMA_4
g13023,-0.839367355542176,474.0,FEMA_4
g13025,-1.2217934473555911,524.0,FEMA_4
g13027,1.153653893808896,201.0,FEMA_4
g13029,-4.886375685124164,713.0,FEMA_4
g13031,-1.1919892223617938,523.0,FEMA_4
