GEOID,sovi,rank
g13307,-1.0871490598933282,2146.0
g13309,-5.3665598485926065,3046.0
g13311,-1.4126855875393196,2291.0
g13313,-0.015164442697458869,1585.0
g13315,-1.2469732368409572,2234.0
g13317,3.488127952864594,260.0
g13319,0.9672690747167452,1047.0
g13321,0.5194267707123772,1290.0
g15001,0.6957871346784912,1196.0
g15003,-2.215051149756813,2555.0
g15005,3.1835806009941083,304.0
g15007,-0.7001830366988735,1973.0
g15009,-1.0331369167121658,2115.0
g16001,-3.6956487022952045,2889.0
g16003,1.1808400892614266,945.0
g16005,-1.7835136365324578,2426.0
g16007,0.018506747322333594,1571.0
g16009,0.5372762093576289,1285.0
g16011,-0.8752933145537062,2059.0
g16013,-2.7784599757823534,2701.0
g16015,-4.159064666213901,2952.0
g16017,-1.3811198115017782,2279.0
g16019,-2.1933693815494517,2551.0
g16021,-1.4831116229179275,2319.0
g16023,1.4020840280916729,848.0
g16025,-3.7271386705089466,2893.0
g16027,0.11786912460199644,1515.0
g16029,-3.788957687213887,2906.0
g16031,-1.4913710677565286,2323.0
g16033,2.0164465437785752,585.0
g16035,-0.6071476759093741,1923.0
g16037,-2.77876360017045,2702.0
g16039,-1.8281391874134783,2440.0
g16041,-4.938466293032066,3017.0
g16043,-1.7094442809834245,2396.0
g16045,1.022150636055268,1024.0
g16047,-0.7109139967139657,1979.0
g16049,1.6871089490193927,727.0
g16051,-4.623083356297761,2992.0
g16053,-0.8454140439445097,2041.0
g16055,-1.71081380661041,2398.0
g16057,-3.6337398795615385,2874.0
g16059,0.8769376230938237,1093.0
g16061,2.896591061128526,346.0
g16063,-1.177007546634314,2192.0
g16065,-3.000735380097549,2755.0
g16067,0.45264699740454395,1338.0
g16069,0.35343349565436855,1393.0
g16071,-3.0585630809274615,2770.0
g16073,0.27679139416782306,1429.0
g16075,0.6254676751699406,1227.0
g16077,-2.392840071795518,2601.0
g16079,1.5635421180276958,779.0
g16081,-5.101201622836939,3025.0
g16083,-0.26286551885415865,1733.0
g16085,-0.23907675853960741,1720.0
g16087,1.7110152919543125,714.0
g17001,0.8011791794890986,1137.0
g17003,4.332847412106156,158.0
g17005,-0.4503577069156849,1851.0
g17007,-3.3068456289778414,2824.0
g17009,-7.682143523433299,3124.0
g17011,0.48046383399998593,1320.0
g17013,0.2431485881067631,1445.0
g17015,1.8098773748559553,667.0
g17017,0.951422286425222,1052.0
g17019,-2.302295194138458,2575.0
g17021,0.33470642270624795,1403.0
g17023,-0.5035056329250451,1873.0
g17025,-0.29699749185227897,1757.0
g17027,-2.627934388985593,2666.0
g17029,0.9172871250603594,1069.0
g17031,1.3074446613269173,893.0
g17033,-1.4199264960789524,2297.0
g17035,-1.0654561013151957,2136.0
g17037,-2.276099322949462,2568.0
g17039,-1.1900201382664104,2199.0
g17041,-0.6393309740401456,1940.0
g17043,-5.1142214208560635,3028.0
g17045,1.168395719840372,949.0
g17047,-1.0413835543609968,2123.0
g17049,-1.7848696567234121,2429.0
g17051,-0.7790829811276011,2009.0
g17053,0.7111265659659425,1187.0
g17055,1.895409735379706,630.0
g17057,0.205139384688382,1462.0
g17059,1.8650878710848349,641.0
g17061,-0.40369166039355714,1823.0
g17063,-3.383473377922582,2841.0
g17065,-0.6137054847164265,1931.0
g17067,0.8750099384604788,1094.0
g17069,1.779711604020725,684.0
g17071,-0.028490738413561922,1589.0
g17073,-0.9147270998310469,2076.0
g17075,1.1804389785675768,947.0
g17077,-0.08894024613308993,1629.0
g17079,-1.55265235350027,2344.0
g17081,-0.3108521032827408,1766.0
g17083,-1.2550304612947654,2239.0
g17085,0.7558495978060193,1160.0
g17087,-3.1488580369929515,2791.0
g17089,-2.3827843357786165,2596.0
g17091,0.38434325839836914,1374.0
g17093,-6.612243860100161,3106.0
g17095,1.9348841531304746,617.0
